filename,report_type,has_sustainability_section
Unknown_8f57f855-11bb-496d-9916-91ff88cb537b_sqi6k2d1.pdf,annual report,False
Toyota_Industries_Corp_environment2004_40h96hjb.pdf,sustainability report,True
Knoll_Inc_Knoll_Enviro_2008_gqetdkb7.pdf,sustainability report,True
Intel_Corp__fwws0wtm.pdf,integrated report,True
Unknown_2020_SEBANG20SUSTAINABILITY20REPORT_ENG_cty885ga.pdf,integrated report,True
Shui_on_Land_Ltd_3_7xr7l35i.pdf,integrated report,True
Unknown_637407834879900000_opfazoiq.pdf,sustainability report,True
Newport_Corp_Volvo-Ocean-Race-Newport-Stopover-Sustainability-Report_2a7nj4kv.pdf,sustainability report,True
Mint_Corp_The_mint_ar_10_eng_final_jsnlk95f.pdf,annual report,False
Unknown_2015-201620Sustainability-Report20210825_171509627_x9kgqjf9.pdf,integrated report,True
Isabella_Bank_Corp_COMBO_494873_tqto1pwh.pdf,other,False
TIM_SA_TIM-2022-sustainability-report-ENG_5qx6prh7.pdf,sustainability report,True
Unknown_2021_RPM_Sustainability_Report_i4bfnpju.pdf,sustainability report,True
Unknown_2022060100165_a05pfov4.pdf,integrated report,True
BBVA_Compass_Bancshares_Inc_Informe_anual_2010_Eng_tcm927-346446_3qyfos2v.pdf,annual report,False
Sundaram_Clayton_Ltd_BusinessResponsibilityReport2021-22_2njbf6an.pdf,sustainability report,True
Citrix_Systems_Inc_citrix-sustainability-report-2020_qnsobgyv.pdf,integrated report,True
Sterlite_Technologies_Ltd_Annual-report-2016_p4sp9tbo.pdf,integrated report,True
Unknown_2022053120034016302_1gl1sbq2.pdf,sustainability report,True
India_Glycols_Ltd_annual-report-2019-20_g3mx3rps.pdf,annual report,False
JSW_Energy_Ltd_Integrated20Annual20Report202021_wgoux4h5.pdf,integrated report,True
Sojitz_Corporation_csr2007_all_3ucpks58.pdf,sustainability report,True
PerkinElmer_Inc_2016-2017-Corporate-Social-Responsibility-Report_tcm137-198142_lsp07rq5.pdf,sustainability report,True
Appian_Corp_476815272_Social-Responsibility-Doc_final-7_chc5albm.pdf,sustainability report,True
IQE_PLC__12224-iqe-annual-report-2018_web_10fo3ave.pdf,annual report,False
Hirose_Electric_Co_Ltd_HiroseElectric_SustainabilityReport2020E_3ixvbvy1.pdf,sustainability report,True
Asian_Paints_Ltd_q4_3gbbkfbt.pdf,other,False
Metair_Investment_Ltd_Metair-IAR_2020_d28upgn8.pdf,integrated report,True
Ambuja_Cements_Ltd_Sustainable-Development-Report-2016_8ixcsb2n.pdf,sustainability report,True
Marks_and_Spencer_Group_PLC_OTC_MAKSF_2012_ffk4yhuq.pdf,integrated report,True
Chambal_Fertilisers__Chemicals_Gadepan-I-And-II-Compliance-Report_es33maw9.pdf,other,False
Unknown_2020-sustainability-report_6rybl2c1.pdf,sustainability report,True
GL_Ltd_kilroy-realty-corporation-sustainability-report-2018_cnh296bj.pdf,integrated report,True
Unknown_2020-annual-report-final-copy_q50a286f.pdf,sustainability report,True
Hess_Corp_hess-2021-sustainability-report_n2wei7r5.pdf,integrated report,True
Unknown_124096-19In-26060160T18678681728S-In_eolydoef.pdf,integrated report,True
Gresham_Technologies_PLC_LSE_GHTL_2019_biqvttuq.pdf,annual report,False
Starbucks_Corp_4dd6216d0fd0400f8689eceba0497e04_zovctl4r.pdf,sustainability report,True
Unknown_95F8F73558174EF49F0B2B278C2F2D27_3tevpoql.pdf,integrated report,True
LyondellBasell_Industries_NV_2019_sustainability_report_fvt1o08m.pdf,sustainability report,True
Unknown_27464_7y8uu0oh.pdf,integrated report,True
KRBL_Ltd_KRBL_ANNUAL_REPORT_2018-19_5wnor8by.pdf,other,False
Singapore_Airlines_Ltd_annualreport0910_xfiqnr8w.pdf,annual report,True
Kencana_Agri_Ltd_Kencana_Agri_SR_2021_6q2kwnn3.pdf,sustainability report,True
Unknown_20210326-cpn-one-report-2020-en_mxc8uoy2.pdf,integrated report,True
Unknown_2021-CubeSmart-Sustainability-Report-Final_2fk1r655.pdf,sustainability report,True
Lincoln_Electric_Holdings_Inc_le-air-treatment-catalogue-eng_8cadb8rq.pdf,ERROR: Expecting value: line 1 column 1 (char 0),
Nitori_Holdings_Co_Ltd_annual2020_osogpvp6.pdf,integrated report,True
Metro_Inc_METRO_CR_Report_2020-EN_u431qjij.pdf,integrated report,True
Sembcorp_Logistics_Ltd_sembcorp-industries-ar-2015_ym9tpjvm.pdf,integrated report,True
Cafe_De_Coral_Holdings_Ltd_E00341_6ylnofui.pdf,integrated report,True
Cummins_India_Ltd_Cummins20India20Limited20Annual20Report202016-17_mqngsp40.pdf,annual report,False
Unknown_202307131157165410_zrqemgyz.pdf,sustainability report,True
RTL_Group_SA_201004_RTL_Group_Annual_Report_2009_43qyfos2.pdf,integrated report,True
Hanil_Holdings_Co_Ltd_surdurulebilirlik-raporu-2019-en_96nit3bj.pdf,sustainability report,True
Apollo_Resources_International_Inc_apo029-2020-esg-report-ada_5mxfvll5.pdf,integrated report,True
BAE_Systems_PLC_1434554723477_nn7e9yya.pdf,sustainability report,True
Unknown_202249154270_sdr9j9qw.pdf,integrated report,True
Doosan_Corp_2022_report_en_ls38ugab.pdf,integrated report,True
Inpex_Corp_2013-2_lbms27tj.pdf,integrated report,True
StarHub_Ltd_Sustainability_5cftd97e.pdf,integrated report,True
Allcargo_Logistics_Ltd_allcargo-esg-report-2022-23_s9dlirv3.pdf,integrated report,True
Sany_Heavy_Equipment_International_Holdings_Co_Ltd_2023042602049_ets04ape.pdf,sustainability report,True
Bharat_Forge_Ltd_04-business-responsibility-report_z39gjly3.pdf,integrated report,True
IDFC_First_Bank_Ltd_IDFC-Bank-Limited-Third-Annual-Report-2016-2017_mxc8uoy2.pdf,annual report,False
Bonduelle_SA_Villeneuve_DAscq_CSR_report_bonduelle_2019-2020_ld_eakqsd52.pdf,integrated report,True
Hertz_Global_Holdings_Inc_Hertz-Living-Journey-Sustainability-Report-2014_uztxxxy7.pdf,sustainability report,True
Unknown_2010_annual_report_low_res_cumrzxaz.pdf,sustainability report,True
Graham_Corp_Graham_Packaging_2019_Sustainability_Report_ls38ugab.pdf,sustainability report,True
Unknown_5c4f6f50-e793-4418-8a23-49b92243ce0a_ih4sptwp.pdf,integrated report,True
Kyowa_Kirin_Co_Ltd_ar2019_en_2_jtln3d5t.pdf,integrated report,True
IPG_Photonics_Corp_IPGPhotonics2021SustainabilityReport_u15vo3aq.pdf,sustainability report,True
Polisan_Holding_AS_PolisanHolding_SustainabilityReport_2018_pv0z9r6x.pdf,integrated report,True
Pca_Corp_PCA_2020_Responsibility_Report_torwjg8c.pdf,integrated report,True
Acast_AB_acast-annual-report-2021_5hv0716n.pdf,integrated report,True
Altria_Group_Inc_2015-cr-report_7sr255cn.pdf,integrated report,True
Fortis_Inc_2020-fortis-sustainability-report_itt18m3b.pdf,sustainability report,True
Schibsted_ASA_schibsted-asa_2008_ly46wqhz.pdf,annual report,False
Suzlon_Energy_Ltd_annual-report-2017-18_5dmhfo40.pdf,integrated report,True
Equitable_Financial_Corp_Equitable2021_ESG_Report_lydoefgn.pdf,integrated report,True
Unknown_2023-ALS-Sustainability-Report_ocuzeva0.pdf,integrated report,True
Alcoa_Inc_NYSE_AA_2014_e8jbez6n.pdf,annual report,False
Riyad_Bank_4hS8vMAMh2WxTTiMRLS4W0FyhUJBHRMEgH4HfFvY_qnrt98fp.pdf,sustainability report,True
Abengoa_SA_2010_Volume1_AR_7_3_1ueqg9np.pdf,integrated report,True
Enagas_SA_ANNUAL20REPORT202021_ENAGAS_o1973o0i.pdf,integrated report,True
Nippon_Yakin_Kogyo_Co_Ltd_NYKSR2022_single_en_nc3bst2b.pdf,sustainability report,True
PT_Lippo_Karawaci_TBK_AnnualReport2009_EN_5x3anicv.pdf,annual report,False
Leidos_Holdings_Inc_REPORT-CR-Leidos-2013_50xsbdzz.pdf,sustainability report,True
Sanmina_Corp_CSR_2020_FINAL_wamnhqns.pdf,sustainability report,True
Unknown_0531_FY21PR20Business20Report20ENG_fljivxeb.pdf,other,False
Cloudflare_Inc_Cloudflare_Impact_Report_2021_q8u89qsl.pdf,integrated report,True
Shake_Shack_Inc_2015-Annual-Report-FINAL_z5i1p42a.pdf,other,False
Renew_Holdings_LSE_RNWH_2018_yszhjouw.pdf,integrated report,True
Hyosung_Advanced_Materials_Corp_SR_2022_en_2kxtpeu1.pdf,sustainability report,True
Nomura_Holdings_Inc_2007_53ghfwum.pdf,integrated report,True
NatWest_Group_plc_2021-esg-supplement_8qu6xvfk.pdf,integrated report,True
Unknown_2019-GF_Sustainability_Report_2019_ngzzzeut.pdf,sustainability report,True
Biffa_PLC_biffa-annual-report-2020_kc3p02u4.pdf,integrated report,True
Boyd_Group_Services_Inc_BoydGroup-ESGReport-March2022_urw5ixrv.pdf,integrated report,True
Sanderson_Farms_Inc_e30947c9-ec49-43b5-b816-dcb98c83bea1_x8g7xnls.pdf,other,True
Umicore_SA_ar2017fullreporten_j57yg31d.pdf,integrated report,True
Itochu_Corp_17fulle-all_jgubss5s.pdf,integrated report,True
Unknown_3864_Annual_Financial_Report_at_december_31_2013_Vol_01_ENG_947rba2x.pdf,integrated report,True
Unknown_5Altice20-20Annual20Report202017-20vf_4289vt6f.pdf,annual report,False
Atea_ASA_atea-sustainability-report-2021_jjtr7vt3.pdf,integrated report,True
Agrana_Beteiligungs_Ag_Wien_agrana_GB_2006-07_e_fgc54h7v.pdf,annual report,True
KYB_Corp_KYB_2016_envi_en_1c7ffbg9.pdf,sustainability report,True
Asahi_Kasei_Corp_csr_report2012e_o1pwhv4c.pdf,integrated report,True
KUKA_AG_annual-report_2011_19nev1er.pdf,annual report,True
Biffa_PLC_biffa-plc-gri-content-index-fy21_th8pppdr.pdf,integrated report,True
